(0, 3, 6, [[0.7833333333333333, 0.7666666666666667], [0.7666666666666667, 0.8333333333333334], [0.6833333333333333, 0.8166666666666667]])
(0, 3, 7, [[0.5833333333333334, 0.6], [0.5333333333333333, 0.6], [0.7333333333333333, 0.6166666666666667]])
(0, 3, 8, [[0.7333333333333333, 0.7166666666666667], [0.5833333333333334, 0.7666666666666667], [0.7, 0.75]])
(0, 4, 6, [[0.5, 0.48333333333333334], [0.6166666666666667, 0.7666666666666667], [0.6, 0.7333333333333333]])
(0, 4, 7, [[0.6166666666666667, 0.65], [0.7, 0.6333333333333333], [0.6, 0.7666666666666667]])
(0, 4, 8, [[0.6333333333333333, 0.5166666666666667], [0.6, 0.9], [0.45, 0.9]])
(0, 5, 6, [[0.7333333333333333, 0.6], [0.6, 0.9], [0.48333333333333334, 0.9]])
(0, 5, 7, [[0.7833333333333333, 0.5666666666666667], [0.6166666666666667, 0.6833333333333333], [0.6, 0.8333333333333334]])
(0, 5, 8, [[0.5833333333333334, 0.5666666666666667], [0.55, 0.9166666666666666], [0.6333333333333333, 0.95]])
(1, 3, 6, [[0.6, 0.8166666666666667], [0.6166666666666667, 0.65], [0.6333333333333333, 0.7333333333333333]])
(1, 3, 7, [[0.5833333333333334, 0.55], [0.7, 0.6], [0.6, 0.5833333333333334]])
(1, 3, 8, [[0.6666666666666666, 0.5], [0.65, 0.7333333333333333], [0.5166666666666667, 0.75]])
(1, 4, 6, [[0.5666666666666667, 0.5166666666666667], [0.55, 0.7833333333333333], [0.6666666666666666, 0.5833333333333334]])
(1, 4, 7, [[0.65, 0.5333333333333333], [0.65, 0.5833333333333334], [0.6166666666666667, 0.7666666666666667]])
(1, 4, 8, [[0.6833333333333333, 0.7333333333333333], [0.6333333333333333, 0.7666666666666667], [0.65, 0.75]])
(1, 5, 6, [[0.7, 0.6833333333333333], [0.7166666666666667, 0.8833333333333333], [0.6833333333333333, 0.9666666666666667]])
(1, 5, 7, [[0.75, 0.5833333333333334], [0.5833333333333334, 0.6333333333333333], [0.6166666666666667, 0.75]])
(1, 5, 8, [[0.6833333333333333, 0.75], [0.5833333333333334, 0.7333333333333333], [0.7, 0.7666666666666667]])
(2, 3, 6, [[0.6833333333333333, 0.6166666666666667], [0.6333333333333333, 0.7666666666666667], [0.6, 0.65]])
(2, 3, 7, [[0.48333333333333334, 0.5166666666666667], [0.4666666666666667, 0.6], [0.48333333333333334, 0.6833333333333333]])
(2, 3, 8, [[0.7, 0.55], [0.55, 0.7833333333333333], [0.5666666666666667, 0.7833333333333333]])
(2, 4, 6, [[0.6166666666666667, 0.6333333333333333], [0.5166666666666667, 0.7333333333333333], [0.55, 0.75]])
(2, 4, 7, [[0.65, 0.6333333333333333], [0.5666666666666667, 0.55], [0.5166666666666667, 0.65]])
(2, 4, 8, [[0.5833333333333334, 0.5666666666666667], [0.6166666666666667, 0.85], [0.5833333333333334, 0.8333333333333334]])
(2, 5, 6, [[0.4166666666666667, 0.55], [0.5166666666666667, 0.7666666666666667], [0.55, 0.8833333333333333]])
(2, 5, 7, [[0.8, 0.7], [0.7, 0.5333333333333333], [0.4166666666666667, 0.7333333333333333]])
(2, 5, 8, [[0.6166666666666667, 0.7333333333333333], [0.55, 0.8333333333333334], [0.5833333333333334, 0.95]])
